accurate	inaccurate
inaccurate	accurate
admit	deny
deny	admit
advantage	disadvantage
disadvantage	advantage
against	for
for	against
agree	disagree
disagree	agree
alive	dead
dead	alive
all	none
none	some
ally	enemy
enemy	ally
always	never
never	always
ancient	modern
modern	ancient
answer	question
question	answer
annoyed	happy
loathe love
annoying great
unfavorable	great
rotten	delightful
disappointing	great
antonym	synonym
synonym	antonym
apart	together
together	apart
appear	disappear
disappear	appear
hideous	beautiful
approve	disapprove
disapprove	approve
pointless	worthwhile
arrive	depart
depart	arrive
suck	rock
hideous beautiful
artificial	natural
natural	artificial
ascend	descend
descend	ascend
attic	cellar
cellar	attic
awful	awesome
attractive	repulsive
repulsive	attractive
backward	forward
forward	backward
bad	good
good	bad
beautiful	ugly
ugly	beautiful
before	after
after	before
begin	end
end	begin
below	above
above	below
bent	straight
straight	crooked
best	worst
worst	best
better	worse
worse	better
boredom	excitement
excitement	boredom
depressing	amazing
loud quiet
immoral moral
big	small
small	big
bitter	sweet
sweet	sour
black	white
white	black
blame	praise
praise	blame
bless	curse
curse	bless
bold	timid
timid	bold
borrow	lend
lend	borrow
bottom	top
top	bottom
bound	free
free	bound, captive
boundless	limited
limited	boundless
boy	girl
busy quiet
girl	boy
brave	cowardly
cowardly	brave
bright	dull
dull	bright
brighten	fade
fade	brighten
broad	narrow
narrow	wide
build	destroy
destroy	build
calm	windy
windy	calm
can	cannot
cannot	can
capable	incapable
incapable	capable
captive	free
careful	careless
careless	careful
cheap	expensive
expensive	cheap
cheerful	sad
sad	cheerful
clear	opaque
opaque	clear
clever	stupid
stupid	clever
clockwise	counterclockwise
counterclockwise	clockwise
close	far
far	near
closed	open
open	closed, shut
clumsy	graceful
graceful	clumsy
cold	hot
hot	cold
combine	separate
separate	together
come	go
go	stop
comfort	discomfort
discomfort	comfort
common	rare
rare	common
compulsory	voluntary
voluntary	compulsory
conceal	reveal
reveal	conceal
contract	expand
expand	contract
cool	warm
warm	cool
correct	incorrect
incorrect	correct
courage	cowardice
cowardice	courage
courteous	rude
rude	courteous
create	destroy
crooked	straight
cruel	kind
kind	cruel
dangerous	safe
afraid	brave
brave	afraid
safe	unsafe
dark	light
light	dark
pain	pleasure
bummer	relief
tired	enthusiastic
day	night
night	day
daytime	nighttime
nighttime	daytime
decline	accept
accept	decline
decrease	increase
increase	decrease
deep	shallow
shallow	deep
definite	indefinite
indefinite	definite
demand	supply
supply	demand
despair	hope
hope	despair
dim	bright
discourage	encourage
encourage	discourage
diseased	healthy
healthy	sick
down	up
up	down
downwards	upwards
upwards	downwards
dreary	cheerful
dread	love
dusk	dawn
dawn	dusk
early	late
late	early
disgusting amazing
east	west
west	east
easy	difficult
difficult	easy
empty	full
full	empty
enter	exit
exit	enter
even	odd
odd	even
sucks rocks
rock sucks
export	import
import	export
terrible great
exterior	interior
interior	exterior
external	internal
internal	external
fail	succeed
succeed	fail
false	true
true	false
famous	unknown
uncool cool
unknown	known
near	far
disturbing	soothing
fast	slow
slow	fast
frustrated	pleased
awkward	convenient
poor	great
fat	thin
thin	fat
feeble	strong
strong	weak
few	many
many	few
nuisance	blessing
dangerous	harmless
poorly	great
dry	fresh
find	lose
lose	find
first	last
last	first
float	sink
sink	float
fold	unfold
unfold	fold
foolish	wise
wise	foolish
fore	aft
aft	fore
forget	remember
remember	forget
fortunate	unfortunate
unfortunate	fortunate
found	lost
lost	found
bound, captive	free
frequent	seldom
seldom	frequent
fresh	stale
stale	fresh
friend	enemy
generous	stingy
stingy	generous
gentle	rough
rough	smooth
get	give
give	receive
giant	tiny
tiny	huge
receive	give
glad	sad
gloomy	cheerful
stop	go
grant	refuse
refuse	grant
great	tiny
grow	shrink
shrink	grow
guest	host
gross lovely
disgusted impressed
nothing	everything
lonely	popular
hurt	help
host	guest
guilty	innocent
innocent	guilty
happy	sad
hard	soft
soft	hard
harmful	harmless
harmless	harmful
harsh	nice
least	most
hate	love
love	hate
haves	have-nots
have-nots	haves
sick	healthy
heaven	hell
hell	heaven
heavy	light
help	hinder
hinder	help
here	there
there	here
hero	coward
coward	hero
high	low
low	high
hill	valley
valley	hill
honest	dishonest
dishonest	honest
horizontal	vertical
vertical	horizontal
humble	proud
proud	humble
ill	healthy
immense	tiny
important	trivial
trivial	important
in	out
out	in
include	exclude
exclude	include
inferior	superior
superior	inferior
inhale	exhale
exhale	inhale
inner	outer
outer	inner
inside	outside
outside	inside
intelligent	grid
intentional	accidental
accidental	intentional
exciting	boring
boring	exciting
join	separate
junior	senior
senior	junior
just	unjust
unjust	just
justice	injustice
injustice	justice
knowledge	ignorance
ignorance	knowledge
known	unknown
landlord	tenant
tenant	landlord
large	small
laugh	cry
cry	laugh
lawful	illegal
illegal	lawful
lazy	industrious
industrious	lazy
leader	follower
follower	leader
left	right
right	left, wrong
lengthen	shorten
shorten	lengthen
lenient	strict
strict	lenient
less	more
more	less
like	dislike
dislike	like
likely	unlikely
unlikely	likely
little	big
long	short
short	long
loose	tight
tight	loose
loss	win
win	lose
loud	quiet
quiet	loud
loyal	disloyal
disloyal	loyal
mad	happy
major	minor
minor	major
mature	immature
immature	mature
maximum	minimum
minimum	maximum
melt	freeze
freeze	melt
merry	sad
messy	neat
neat	messy, untidy
minority	majority
